Material;Material Document;Reference;Posting Date;Time of Entry;Quantity;Base Unit of Measure;Boxes;Pallets
70981651;4905937088;;03/01/2022;12:30:37;16 500;CU;16500;N/A
70981643;4905937206;;03/01/2022;12:31:13;35 600;CU;35600;N/A
W302036200;4905937358;;03/01/2022;15:43:55;1 560;CU;130;1,0
V301531300;5000054262;4500034178;04/01/2022;07:59:01;13 120;CU;656;4,1
V301743401;5000054262;4500034178;04/01/2022;07:59:01;8 640;CU;432;1,8
7000188H;5000054264;4500034177;04/01/2022;08:43:58;160;CU;16;0,6
7000803A;5000054264;4500034177;04/01/2022;08:43:58;240;CU;12;0,1
7000885D;5000054264;4500034177;04/01/2022;08:43:58;768;CU;8;0,1
70008930;5000054264;4500034177;04/01/2022;08:43:58;384;CU;8;0,1
7000921D;5000054264;4500034177;04/01/2022;08:43:58;648;CU;9;0,1
7000923D;5000054264;4500034177;04/01/2022;08:43:58;960;CU;4;0,2
7000927D;5000054264;4500034177;04/01/2022;08:43:58;576;CU;8;0,1
7001134C;5000054264;4500034177;04/01/2022;08:43:58;1 400;CU;7;0,1
7002056A;5000054264;4500034177;04/01/2022;08:43:58;2 520;CU;252;1,0
70020590;5000054264;4500034177;04/01/2022;08:43:58;19 200;CU;960;10,0
70022430;5000054264;4500034177;04/01/2022;08:43:58;282;CU;47;0,2
7002707U;5000054264;4500034177;04/01/2022;08:43:58;2 835;CU;405;1,9
7002770A;5000054264;4500034177;04/01/2022;08:43:58;11 200;CU;560;2,8
7004022E;5000054264;4500034177;04/01/2022;08:43:58;7 200;CU;36;2,0
7004022V;5000054264;4500034177;04/01/2022;08:43:58;250;CU;50;0,7
7004023F;5000054264;4500034177;04/01/2022;08:43:58;400;CU;4;0,3
7004025Z;5000054264;4500034177;04/01/2022;08:43:58;360;CU;36;0,6
7004060L;5000054264;4500034177;04/01/2022;08:43:58;4 000;CU;40;1,0
7004399A;5000054264;4500034177;04/01/2022;08:43:58;700;CU;14;0,7
7004399L;5000054264;4500034177;04/01/2022;08:43:58;3 500;CU;70;2,5
70050900;5000054264;4500034177;04/01/2022;08:43:58;1 600;CU;8;0,3
7005098V;5000054264;4500034177;04/01/2022;08:43:58;800;CU;4;0,1
7005099E;5000054264;4500034177;04/01/2022;08:43:58;800;CU;8;0,2
7005115E;5000054264;4500034177;04/01/2022;08:43:58;3 200;CU;16;0,2
W301523600;5000054264;4500034177;04/01/2022;08:43:58;3 520;CU;176;0,6
70027080;5000054267;4500034179;04/01/2022;09:43:57;27 600;CU;2760;23,0
7006713E;5000054267;4500034179;04/01/2022;09:43:57;12 000;CU;1200;10,0
7007042B;4905937870;0084186555;04/01/2022;15:13:57;920;CU;46;0,6
7007042B;4905937870;0084186555;04/01/2022;15:13:57;160;CU;8;0,1
70020840;4905937869;0084186557;04/01/2022;15:13:57;120;CU;10;0,1
70020840;4905937869;0084186557;04/01/2022;15:13:57;12;CU;1;0,0
7007078G;4905937869;0084186557;04/01/2022;15:13:57;12;CU;1;0,0
7007078G;4905937869;0084186557;04/01/2022;15:13:57;108;CU;9;0,1
71939840;4905937869;0084186557;04/01/2022;15:13:57;1;CU;1;0,2
71939850;4905937869;0084186557;04/01/2022;15:13:57;1;CU;1;0,2
70027600;4905937872;0084186566;04/01/2022;15:13:58;400;CU;40;0,1
7006713E;4905937871;0084186556;04/01/2022;15:13:58;150;CU;15;0,1
70027600;4905937875;0084186554;04/01/2022;15:13:59;9;CU;1;0,0
70027600;4905937875;0084186554;04/01/2022;15:13:59;190;CU;19;0,1
70027760;4905937874;0084186561;04/01/2022;15:13:59;370;CU;37;0,1
70027760;4905937874;0084186561;04/01/2022;15:13:59;30;CU;3;0,0
7001143R;4905937873;0084186560;04/01/2022;15:13:59;20;CU;0;0,0
7001143R;4905937873;0084186560;04/01/2022;15:13:59;40;CU;0;0,0
70020210;4905937876;0084186567;04/01/2022;15:14:01;219;CU;2;0,1
70020210;4905937876;0084186567;04/01/2022;15:14:01;968;CU;10;0,2
70020220;4905937876;0084186567;04/01/2022;15:14:01;72;CU;1;0,0
70020220;4905937876;0084186567;04/01/2022;15:14:01;365;CU;4;0,1
7002399K;4905937876;0084186567;04/01/2022;15:14:01;167;CU;3;0,2
7002399K;4905937876;0084186567;04/01/2022;15:14:01;384;CU;8;0,5
70030230;4905937876;0084186567;04/01/2022;15:14:01;509;CU;5;0,1
70030230;4905937876;0084186567;04/01/2022;15:14:01;112;CU;1;0,0
7007078G;4905937876;0084186567;04/01/2022;15:14:01;144;CU;12;0,1
7007078G;4905937876;0084186567;04/01/2022;15:14:01;1 296;CU;108;1,2
70027600;4905937877;0084186559;04/01/2022;15:14:02;80;CU;8;0,0
70020220;4905937930;0084186576;04/01/2022;16:13:58;42;CU;0;0,0
70020220;4905937930;0084186576;04/01/2022;16:13:58;14;CU;0;0,0
7002399K;4905937930;0084186576;04/01/2022;16:13:58;19;CU;0;0,0
7002399K;4905937930;0084186576;04/01/2022;16:13:58;83;CU;2;0,1
Y000060804;4905937929;0084186568;04/01/2022;16:13:58;4;CU;1;0,0
Y000060904;4905937929;0084186568;04/01/2022;16:13:58;16;CU;3;0,0
Y300047300;4905937929;0084186568;04/01/2022;16:13:58;7;CU;1;0,0
Y300752500;4905937929;0084186568;04/01/2022;16:13:58;8;CU;1;0,0
Y301017000;4905937929;0084186568;04/01/2022;16:13:58;15;CU;3;0,0
Y301017600;4905937929;0084186568;04/01/2022;16:13:58;1;CU;0;0,0
Y301044700;4905937929;0084186568;04/01/2022;16:13:58;19;CU;3;0,0
Y301343901;4905937929;0084186568;04/01/2022;16:13:58;2;CU;0;0,0
Y301709100;4905937929;0084186568;04/01/2022;16:13:58;16;CU;3;0,0
Y301764100;4905937929;0084186568;04/01/2022;16:13:58;3;CU;0;0,0
Y301780700;4905937929;0084186568;04/01/2022;16:13:58;7;CU;1;0,0
Y301780700;4905937929;0084186568;04/01/2022;16:13:58;3;CU;0;0,0
Y301780800;4905937929;0084186568;04/01/2022;16:13:58;7;CU;1;0,0
Y301780800;4905937929;0084186568;04/01/2022;16:13:58;4;CU;0;0,0
70010840;4905937928;0084186573;04/01/2022;16:13:58;12;CU;1;0,0
7006713E;4905937928;0084186573;04/01/2022;16:13:58;10;CU;1;0,0
W301656103;4905937928;0084186573;04/01/2022;16:13:58;5;CU;0;0,0
X301583800;4905937928;0084186573;04/01/2022;16:13:58;6;CU;1;0,0
X301583900;4905937928;0084186573;04/01/2022;16:13:58;6;CU;1;0,0
X301584000;4905937928;0084186573;04/01/2022;16:13:58;6;CU;1;0,0
X302077300;4905937928;0084186573;04/01/2022;16:13:58;6;CU;1;0,1
X302077300;4905937928;0084186573;04/01/2022;16:13:58;90;CU;15;0,9
7000056B;4905937942;0084186570;04/01/2022;16:13:59;540;CU;54;0,2
70020560;4905937942;0084186570;04/01/2022;16:13:59;440;CU;44;0,2
70020840;4905937931;0084186574;04/01/2022;16:13:59;24;CU;2;0,0
70020840;4905937931;0084186574;04/01/2022;16:13:59;84;CU;7;0,1
70020840;4905937931;0084186574;04/01/2022;16:13:59;24;CU;2;0,0
7007078G;4905937931;0084186574;04/01/2022;16:13:59;12;CU;1;0,0
7007078G;4905937931;0084186574;04/01/2022;16:13:59;108;CU;9;0,1
71939220;4905937931;0084186574;04/01/2022;16:13:59;1;CU;1;0,1
71939840;4905937931;0084186574;04/01/2022;16:13:59;1;CU;1;0,2
X301573200;4905937943;0084186572;04/01/2022;16:13:59;4;CU;1;0,0
X301573200;4905937943;0084186572;04/01/2022;16:13:59;276;CU;69;0,9
X302077300;4905937943;0084186572;04/01/2022;16:13:59;12;CU;2;0,1
X302077300;4905937943;0084186572;04/01/2022;16:13:59;168;CU;28;1,8
Y00561G0;4905938068;0084186569;05/01/2022;03:59:11;9;CU;2;0,0
Y000060804;4905938068;0084186569;05/01/2022;03:59:11;7;CU;1;0,0
Y000060904;4905938068;0084186569;05/01/2022;03:59:11;11;CU;2;0,0
Y000060904;4905938068;0084186569;05/01/2022;03:59:11;3;CU;1;0,0
Y300047300;4905938068;0084186569;05/01/2022;03:59:11;5;CU;1;0,0
Y300047300;4905938068;0084186569;05/01/2022;03:59:11;1;CU;0;0,0
Y300457101;4905938068;0084186569;05/01/2022;03:59:11;5;CU;0;0,0
Y300457302;4905938068;0084186569;05/01/2022;03:59:11;9;CU;1;0,0
Y300752500;4905938068;0084186569;05/01/2022;03:59:11;5;CU;1;0,0
Y301044703;4905938068;0084186569;05/01/2022;03:59:11;13;CU;2;0,0
Y301044703;4905938068;0084186569;05/01/2022;03:59:11;4;CU;1;0,0
Y301112300;4905938068;0084186569;05/01/2022;03:59:11;4;CU;0;0,0
Y301144400;4905938068;0084186569;05/01/2022;03:59:11;1;CU;0;0,0
Y301519800;4905938068;0084186569;05/01/2022;03:59:11;13;CU;1;0,0
Y301522000;4905938068;0084186569;05/01/2022;03:59:11;9;CU;2;0,0
Y301522100;4905938068;0084186569;05/01/2022;03:59:11;4;CU;1;0,0
Y301764100;4905938068;0084186569;05/01/2022;03:59:11;3;CU;0;0,0
Y301780700;4905938068;0084186569;05/01/2022;03:59:11;9;CU;1;0,0
Y301780800;4905938068;0084186569;05/01/2022;03:59:11;8;CU;1;0,0
7000237N;4905938071;0084186565;05/01/2022;05:14:07;6;CU;0;0,0
7000237N;4905938071;0084186565;05/01/2022;05:14:07;54;CU;0;0,0
70027080;4905938071;0084186565;05/01/2022;05:14:07;900;CU;90;0,8
7002723B;4905938071;0084186565;05/01/2022;05:14:07;450;CU;45;0,4
7006713E;4905938071;0084186565;05/01/2022;05:14:07;710;CU;71;0,6
7006713E;4905938071;0084186565;05/01/2022;05:14:07;40;CU;4;0,0
7000922D;4905938072;0084186564;05/01/2022;05:14:08;6;CU;0;0,0
7000922D;4905938072;0084186564;05/01/2022;05:14:08;72;CU;1;0,0
W302133300;4905938072;0084186564;05/01/2022;05:14:08;140;CU;28;0,4
Y00530F0;4905938075;0084186579;05/01/2022;05:14:09;4;CU;1;0,0
Y00561G0;4905938075;0084186579;05/01/2022;05:14:09;1;CU;0;0,0
Y00561G0;4905938075;0084186579;05/01/2022;05:14:09;22;CU;4;0,0
Y000060804;4905938075;0084186579;05/01/2022;05:14:09;21;CU;4;0,0
Y000060904;4905938075;0084186579;05/01/2022;05:14:09;23;CU;4;0,0
Y300752400;4905938075;0084186579;05/01/2022;05:14:09;7;CU;1;0,0
Y300752500;4905938075;0084186579;05/01/2022;05:14:09;11;CU;2;0,0
Y301044700;4905938075;0084186579;05/01/2022;05:14:09;4;CU;1;0,0
Y301519800;4905938075;0084186579;05/01/2022;05:14:09;8;CU;1;0,0
Y301522000;4905938075;0084186579;05/01/2022;05:14:09;8;CU;1;0,0
Y301522100;4905938075;0084186579;05/01/2022;05:14:09;6;CU;1;0,0
Y301764100;4905938075;0084186579;05/01/2022;05:14:09;4;CU;0;0,0
Y301780700;4905938075;0084186579;05/01/2022;05:14:09;11;CU;1;0,0
Y301780800;4905938075;0084186579;05/01/2022;05:14:09;10;CU;1;0,0
71939370;4905938074;0084186578;05/01/2022;05:14:09;1;CU;1;0,1
Y000060808;4905938073;0084186563;05/01/2022;05:14:09;66;CU;11;0,0
Y000060808;4905938073;0084186563;05/01/2022;05:14:09;54;CU;9;0,0
Y000060808;4905938073;0084186563;05/01/2022;05:14:09;18;CU;3;0,0
Y301017000;4905938073;0084186563;05/01/2022;05:14:09;28;CU;5;0,0
Y301017000;4905938073;0084186563;05/01/2022;05:14:09;13;CU;2;0,0
Y301017600;4905938073;0084186563;05/01/2022;05:14:09;65;CU;11;0,0
Y301017600;4905938073;0084186563;05/01/2022;05:14:09;20;CU;3;0,0
Y301017701;4905938073;0084186563;05/01/2022;05:14:09;90;CU;15;0,1
Y301017701;4905938073;0084186563;05/01/2022;05:14:09;17;CU;3;0,0
Y301017701;4905938073;0084186563;05/01/2022;05:14:09;40;CU;7;0,0
Y301709100;4905938073;0084186563;05/01/2022;05:14:09;71;CU;12;0,1
Y301709100;4905938073;0084186563;05/01/2022;05:14:09;58;CU;10;0,1
Y301709100;4905938073;0084186563;05/01/2022;05:14:09;12;CU;2;0,0
Y301017701;4905938076;0084186562;05/01/2022;05:14:16;138;CU;23;0,1
Y301017701;4905938076;0084186562;05/01/2022;05:14:16;54;CU;9;0,0
Y00561G0;4905938077;0084186577;05/01/2022;05:14:19;131;CU;22;0,1
Y00561G0;4905938077;0084186577;05/01/2022;05:14:19;83;CU;14;0,0
Y00561G0;4905938077;0084186577;05/01/2022;05:14:19;156;CU;26;0,1
Y000060804;4905938077;0084186577;05/01/2022;05:14:19;41;CU;7;0,0
Y000060804;4905938077;0084186577;05/01/2022;05:14:19;129;CU;22;0,0
Y000060808;4905938077;0084186577;05/01/2022;05:14:19;114;CU;19;0,0
Y000060904;4905938077;0084186577;05/01/2022;05:14:19;319;CU;53;0,1
Y000060904;4905938077;0084186577;05/01/2022;05:14:19;42;CU;7;0,0
Y300047300;4905938077;0084186577;05/01/2022;05:14:19;83;CU;14;0,0
Y300047300;4905938077;0084186577;05/01/2022;05:14:19;5;CU;1;0,0
Y300047300;4905938077;0084186577;05/01/2022;05:14:19;336;CU;56;0,2
Y300752302;4905938077;0084186577;05/01/2022;05:14:19;144;CU;24;0,1
Y300752302;4905938077;0084186577;05/01/2022;05:14:19;110;CU;18;0,1
Y300752302;4905938077;0084186577;05/01/2022;05:14:19;8;CU;1;0,0
Y300752500;4905938077;0084186577;05/01/2022;05:14:19;323;CU;54;0,2
Y301017000;4905938077;0084186577;05/01/2022;05:14:19;744;CU;124;0,4
Y301017000;4905938077;0084186577;05/01/2022;05:14:19;88;CU;15;0,0
Y301017000;4905938077;0084186577;05/01/2022;05:14:19;10;CU;2;0,0
Y301017701;4905938077;0084186577;05/01/2022;05:14:19;8;CU;1;0,0
Y301017701;4905938077;0084186577;05/01/2022;05:14:19;601;CU;100;0,4
Y301044700;4905938077;0084186577;05/01/2022;05:14:19;18;CU;3;0,0
Y301044700;4905938077;0084186577;05/01/2022;05:14:19;98;CU;16;0,0
Y301343901;4905938077;0084186577;05/01/2022;05:14:19;2;CU;0;0,0
Y301343901;4905938077;0084186577;05/01/2022;05:14:19;107;CU;18;0,1
Y301343901;4905938077;0084186577;05/01/2022;05:14:19;162;CU;27;0,1
Y301519800;4905938077;0084186577;05/01/2022;05:14:19;148;CU;12;0,0
Y301522000;4905938077;0084186577;05/01/2022;05:14:19;215;CU;36;0,1
Y301522100;4905938077;0084186577;05/01/2022;05:14:19;24;CU;4;0,0
Y301522100;4905938077;0084186577;05/01/2022;05:14:19;281;CU;47;0,1
Y301764100;4905938077;0084186577;05/01/2022;05:14:19;110;CU;9;0,0
Y301764100;4905938077;0084186577;05/01/2022;05:14:19;372;CU;31;0,1
Y301764100;4905938077;0084186577;05/01/2022;05:14:19;4;CU;0;0,0
Y301780700;4905938077;0084186577;05/01/2022;05:14:19;288;CU;24;0,1
Y301780700;4905938077;0084186577;05/01/2022;05:14:19;68;CU;6;0,0
Y301780800;4905938077;0084186577;05/01/2022;05:14:19;69;CU;6;0,0
Y301780800;4905938077;0084186577;05/01/2022;05:14:19;288;CU;24;0,1
7000182H;5000054281;4500034188;05/01/2022;08:59:07;80;CU;8;0,3
7000188H;5000054281;4500034188;05/01/2022;08:59:07;120;CU;12;0,4
7000202A;5000054281;4500034188;05/01/2022;08:59:07;240;CU;12;0,2
7000919D;5000054281;4500034188;05/01/2022;08:59:07;110;CU;1;0,0
7000921D;5000054281;4500034188;05/01/2022;08:59:07;648;CU;9;0,1
70010580;5000054281;4500034188;05/01/2022;08:59:07;1 920;CU;96;1,0
7001143Z;5000054281;4500034188;05/01/2022;08:59:07;1 110;CU;111;0,4
70017510;5000054281;4500034188;05/01/2022;08:59:07;1 400;CU;140;1,0
7002056A;5000054281;4500034188;05/01/2022;08:59:07;2 520;CU;252;1,0
7002309E;5000054281;4500034188;05/01/2022;08:59:07;900;CU;18;0,5
70027030;5000054281;4500034188;05/01/2022;08:59:07;600;CU;60;1,0
7002707U;5000054281;4500034188;05/01/2022;08:59:07;3 024;CU;432;2,0
7002708B;5000054281;4500034188;05/01/2022;08:59:07;1 200;CU;120;1,0
7002772A;5000054281;4500034188;05/01/2022;08:59:07;720;CU;36;0,3
7002774Q;5000054281;4500034188;05/01/2022;08:59:07;320;CU;16;0,3
7002780F;5000054281;4500034188;05/01/2022;08:59:07;880;CU;44;1,0
7004020E;5000054281;4500034188;05/01/2022;08:59:07;1 200;CU;6;0,3
7004022E;5000054281;4500034188;05/01/2022;08:59:07;3 600;CU;18;1,0
7004023F;5000054281;4500034188;05/01/2022;08:59:07;2 000;CU;20;1,3
7004023Z;5000054281;4500034188;05/01/2022;08:59:07;1 200;CU;120;2,0
7004061Y;5000054281;4500034188;05/01/2022;08:59:07;700;CU;140;1,0
7004127E;5000054281;4500034188;05/01/2022;08:59:07;2 400;CU;12;0,4
7004399A;5000054281;4500034188;05/01/2022;08:59:07;1 050;CU;21;1,0
7004399L;5000054281;4500034188;05/01/2022;08:59:07;2 100;CU;42;1,5
7005098E;5000054281;4500034188;05/01/2022;08:59:07;11 560;CU;58;2,1
70057770;5000054281;4500034188;05/01/2022;08:59:07;320;CU;16;0,1
W045150201;5000054281;4500034188;05/01/2022;08:59:07;1 275;CU;26;0,6
W302089700;5000054281;4500034188;05/01/2022;08:59:07;2 100;CU;42;2,0
W302123001;5000054281;4500034188;05/01/2022;08:59:07;1 050;CU;21;1,0
W302123200;5000054281;4500034188;05/01/2022;08:59:07;3 600;CU;18;1,0
W302175000;5000054281;4500034188;05/01/2022;08:59:07;1 920;CU;96;1,0
V301531600;5000054280;4500034189;05/01/2022;08:59:07;2 780;CU;139;1,7
V301971500;5000054280;4500034189;05/01/2022;08:59:07;13 540;CU;677;4,2
W302036200;4905938290;;05/01/2022;15:44:07;12 480;CU;1040;7,8
Y00561G0;4905938361;0084186592;05/01/2022;17:14:08;1;CU;0;0,0
Y00561G0;4905938361;0084186592;05/01/2022;17:14:08;20;CU;3;0,0
Y000060704;4905938361;0084186592;05/01/2022;17:14:08;5;CU;1;0,0
Y000060804;4905938361;0084186592;05/01/2022;17:14:08;16;CU;3;0,0
Y000060904;4905938361;0084186592;05/01/2022;17:14:08;25;CU;4;0,0
Y300047300;4905938361;0084186592;05/01/2022;17:14:08;9;CU;2;0,0
Y300752302;4905938361;0084186592;05/01/2022;17:14:08;1;CU;0;0,0
Y300752400;4905938361;0084186592;05/01/2022;17:14:08;8;CU;1;0,0
Y300752500;4905938361;0084186592;05/01/2022;17:14:08;6;CU;1;0,0
Y301017604;4905938361;0084186592;05/01/2022;17:14:08;2;CU;0;0,0
Y301044703;4905938361;0084186592;05/01/2022;17:14:08;1;CU;0;0,0
Y301044703;4905938361;0084186592;05/01/2022;17:14:08;23;CU;4;0,0
Y301343901;4905938361;0084186592;05/01/2022;17:14:08;3;CU;1;0,0
Y301343901;4905938361;0084186592;05/01/2022;17:14:08;1;CU;0;0,0
Y301519800;4905938361;0084186592;05/01/2022;17:14:08;4;CU;0;0,0
Y301519800;4905938361;0084186592;05/01/2022;17:14:08;6;CU;1;0,0
Y301519801;4905938361;0084186592;05/01/2022;17:14:08;6;CU;1;0,0
Y301522000;4905938361;0084186592;05/01/2022;17:14:08;9;CU;2;0,0
Y301764100;4905938361;0084186592;05/01/2022;17:14:08;4;CU;0;0,0
Y301764100;4905938361;0084186592;05/01/2022;17:14:08;3;CU;0;0,0
Y301780700;4905938361;0084186592;05/01/2022;17:14:08;6;CU;1;0,0
Y301780700;4905938361;0084186592;05/01/2022;17:14:08;4;CU;0;0,0
Y301780800;4905938361;0084186592;05/01/2022;17:14:08;6;CU;1;0,0
Y301780800;4905938361;0084186592;05/01/2022;17:14:08;4;CU;0;0,0
Y00561G0;4905938362;0084186594;05/01/2022;17:14:12;11;CU;2;0,0
Y000060804;4905938362;0084186594;05/01/2022;17:14:12;13;CU;2;0,0
Y000060904;4905938362;0084186594;05/01/2022;17:14:12;20;CU;3;0,0
Y300047300;4905938362;0084186594;05/01/2022;17:14:12;14;CU;2;0,0
Y300752302;4905938362;0084186594;05/01/2022;17:14:12;1;CU;0;0,0
Y300752500;4905938362;0084186594;05/01/2022;17:14:12;7;CU;1;0,0
Y301017000;4905938362;0084186594;05/01/2022;17:14:12;20;CU;3;0,0
Y301017604;4905938362;0084186594;05/01/2022;17:14:12;1;CU;0;0,0
Y301017604;4905938362;0084186594;05/01/2022;17:14:12;2;CU;0;0,0
Y301017701;4905938362;0084186594;05/01/2022;17:14:12;1;CU;0;0,0
Y301017701;4905938362;0084186594;05/01/2022;17:14:12;5;CU;1;0,0
Y301044703;4905938362;0084186594;05/01/2022;17:14:12;29;CU;5;0,0
Y301343901;4905938362;0084186594;05/01/2022;17:14:12;2;CU;0;0,0
Y301519801;4905938362;0084186594;05/01/2022;17:14:12;7;CU;1;0,0
Y301522000;4905938362;0084186594;05/01/2022;17:14:12;9;CU;2;0,0
Y301522100;4905938362;0084186594;05/01/2022;17:14:12;1;CU;0;0,0
Y301764100;4905938362;0084186594;05/01/2022;17:14:12;1;CU;0;0,0
Y301764100;4905938362;0084186594;05/01/2022;17:14:12;4;CU;0;0,0
Y301780700;4905938362;0084186594;05/01/2022;17:14:12;4;CU;0;0,0
Y301780700;4905938362;0084186594;05/01/2022;17:14:12;2;CU;0;0,0
Y301780800;4905938362;0084186594;05/01/2022;17:14:12;2;CU;0;0,0
Y301780800;4905938362;0084186594;05/01/2022;17:14:12;8;CU;1;0,0
V301531200;5000054304;4500034194;06/01/2022;07:29:11;6 820;CU;341;2,1
V301531300;5000054304;4500034194;06/01/2022;07:29:11;2 560;CU;128;0,8
V301861600;5000054304;4500034194;06/01/2022;07:29:11;11 520;CU;576;3,6
70020560;5000054305;4500034193;06/01/2022;07:59:13;17 640;CU;1764;7,0
70022050;5000054305;4500034193;06/01/2022;07:59:13;3 200;CU;80;2,0
7002772A;5000054305;4500034193;06/01/2022;07:59:13;3 120;CU;156;1,3
7004022V;5000054305;4500034193;06/01/2022;07:59:13;350;CU;70;1,0
7004023Z;5000054305;4500034193;06/01/2022;07:59:13;600;CU;60;1,0
7004160E;5000054305;4500034193;06/01/2022;07:59:13;1 200;CU;24;1,0
7004397L;5000054305;4500034193;06/01/2022;07:59:13;1 050;CU;21;0,8
7004399L;5000054305;4500034193;06/01/2022;07:59:13;1 400;CU;28;1,0
7005112E;5000054305;4500034193;06/01/2022;07:59:13;6 400;CU;32;0,4
7005115I;5000054305;4500034193;06/01/2022;07:59:13;8 000;CU;40;0,5
7006711V;5000054305;4500034193;06/01/2022;07:59:13;3 780;CU;189;1,0
W302089700;5000054305;4500034193;06/01/2022;07:59:13;1 050;CU;21;1,0
W302123000;5000054305;4500034193;06/01/2022;07:59:13;2 100;CU;42;2,0
W302124200;5000054305;4500034193;06/01/2022;07:59:13;10 500;CU;525;5,0
W302124300;5000054305;4500034193;06/01/2022;07:59:13;2 100;CU;105;1,0
Y00561G0;4905938578;0084186591;06/01/2022;11:29:12;16;CU;3;0,0
Y000060804;4905938578;0084186591;06/01/2022;11:29:12;13;CU;2;0,0
Y000060904;4905938578;0084186591;06/01/2022;11:29:12;16;CU;3;0,0
Y300047300;4905938578;0084186591;06/01/2022;11:29:12;2;CU;0;0,0
Y300752500;4905938578;0084186591;06/01/2022;11:29:12;11;CU;2;0,0
Y301017000;4905938578;0084186591;06/01/2022;11:29:12;22;CU;4;0,0
Y301017000;4905938578;0084186591;06/01/2022;11:29:12;1;CU;0;0,0
Y301017701;4905938578;0084186591;06/01/2022;11:29:12;4;CU;1;0,0
Y301044700;4905938578;0084186591;06/01/2022;11:29:12;17;CU;3;0,0
Y301110300;4905938578;0084186591;06/01/2022;11:29:12;12;CU;1;0,0
Y301343900;4905938578;0084186591;06/01/2022;11:29:12;5;CU;1;0,0
7002707U;5000054311;4500034195;06/01/2022;11:44:12;1 512;CU;216;1,0
7002710P;5000054311;4500034195;06/01/2022;11:44:12;3 840;CU;192;3,0
7004022E;5000054311;4500034195;06/01/2022;11:44:12;3 600;CU;18;1,0
7004023F;5000054311;4500034195;06/01/2022;11:44:12;1 600;CU;16;1,0
W301565500;5000054311;4500034195;06/01/2022;11:44:12;18 000;CU;360;20,0
W301996800;5000054311;4500034195;06/01/2022;11:44:12;2 800;CU;56;2,0
W302175000;5000054311;4500034195;06/01/2022;11:44:12;9 600;CU;480;5,0
7000057B;4905938629;0084186598;06/01/2022;12:14:15;80;CU;4;0,1
7000063E;4905938629;0084186598;06/01/2022;12:14:15;10;CU;0;0,0
7000235V;4905938629;0084186598;06/01/2022;12:14:15;24;CU;0;0,0
70007940;4905938629;0084186598;06/01/2022;12:14:15;36;CU;3;0,0
70010580;4905938629;0084186598;06/01/2022;12:14:15;380;CU;19;0,2
7001143Z;4905938629;0084186598;06/01/2022;12:14:15;80;CU;8;0,0
70013060;4905938629;0084186598;06/01/2022;12:14:15;5;CU;0;0,0
70017300;4905938629;0084186598;06/01/2022;12:14:15;40;CU;4;0,0
70017500;4905938629;0084186598;06/01/2022;12:14:15;30;CU;3;0,0
70017510;4905938629;0084186598;06/01/2022;12:14:15;80;CU;8;0,1
70020590;4905938629;0084186598;06/01/2022;12:14:15;400;CU;20;0,2
7002309E;4905938629;0084186598;06/01/2022;12:14:15;5;CU;0;0,0
7002309E;4905938629;0084186598;06/01/2022;12:14:15;30;CU;1;0,0
7002705J;4905938629;0084186598;06/01/2022;12:14:15;80;CU;4;0,1
7002709F;4905938629;0084186598;06/01/2022;12:14:15;150;CU;15;0,2
7002710P;4905938629;0084186598;06/01/2022;12:14:15;100;CU;5;0,1
7002723D;4905938629;0084186598;06/01/2022;12:14:15;80;CU;4;0,0
7002725J;4905938629;0084186598;06/01/2022;12:14:15;140;CU;7;0,1
7002741H;4905938629;0084186598;06/01/2022;12:14:15;120;CU;6;0,1
7002772A;4905938629;0084186598;06/01/2022;12:14:15;80;CU;4;0,0
7002780F;4905938629;0084186598;06/01/2022;12:14:15;320;CU;16;0,4
7004022E;4905938629;0084186598;06/01/2022;12:14:15;110;CU;1;0,0
7004023F;4905938629;0084186598;06/01/2022;12:14:15;30;CU;0;0,0
7004025E;4905938629;0084186598;06/01/2022;12:14:15;90;CU;0;0,0
7004028W;4905938629;0084186598;06/01/2022;12:14:15;460;CU;46;0,3
7004041C;4905938629;0084186598;06/01/2022;12:14:15;40;CU;0;0,0
7004060L;4905938629;0084186598;06/01/2022;12:14:15;50;CU;1;0,0
7004071E;4905938629;0084186598;06/01/2022;12:14:15;20;CU;0;0,0
7004071E;4905938629;0084186598;06/01/2022;12:14:15;40;CU;0;0,0
70041220;4905938629;0084186598;06/01/2022;12:14:15;70;CU;1;0,0
7004127E;4905938629;0084186598;06/01/2022;12:14:15;40;CU;0;0,0
7004160E;4905938629;0084186598;06/01/2022;12:14:15;15;CU;0;0,0
7004160E;4905938629;0084186598;06/01/2022;12:14:15;10;CU;0;0,0
7004388C;4905938629;0084186598;06/01/2022;12:14:15;20;CU;0;0,0
7004394L;4905938629;0084186598;06/01/2022;12:14:15;5;CU;0;0,0
7004394L;4905938629;0084186598;06/01/2022;12:14:15;40;CU;1;0,0
7004399L;4905938629;0084186598;06/01/2022;12:14:15;25;CU;1;0,0
7005098E;4905938629;0084186598;06/01/2022;12:14:15;10;CU;0;0,0
7005098E;4905938629;0084186598;06/01/2022;12:14:15;90;CU;0;0,0
7005098V;4905938629;0084186598;06/01/2022;12:14:15;10;CU;0;0,0
7005098V;4905938629;0084186598;06/01/2022;12:14:15;20;CU;0;0,0
7005099E;4905938629;0084186598;06/01/2022;12:14:15;20;CU;0;0,0
7005115I;4905938629;0084186598;06/01/2022;12:14:15;80;CU;0;0,0
